mese,fascia-anagrafica,area,prediction
1 MARZO,16-19,Puglia,1.8734660569027435E11
1 MARZO,16-19,Umbria,5.353861002875056E10
1 MARZO,16-19,Abruzzo,4.826466982319618E10
1 MARZO,16-19,Veneto,1.492351700531993E10
1 MARZO,16-19,Toscana,1.4538866698316593E10
1 MARZO,20-29,Puglia,3.613847107545255E12
1 MARZO,20-29,Umbria,1.613200733612392E12
1 MARZO,20-29,Provincia Autonoma Trento,1.5164810009182236E12
1 MARZO,20-29,Abruzzo,1.3777956592608447E12
1 MARZO,20-29,Veneto,341.42857142857144
1 MARZO,30-39,Toscana,2.086613282320138E13
1 MARZO,30-39,Puglia,1.0714270235941176E13
1 MARZO,30-39,Campania,5.55330883496101E12
1 MARZO,30-39,Umbria,3.2777886769738643E12
1 MARZO,30-39,Provincia Autonoma Bolzano / Bozen,76.73913043478261
1 MARZO,40-49,Campania,4.691763095898459E13
1 MARZO,40-49,Toscana,4.0413333778060945E13
1 MARZO,40-49,Puglia,3.2829656989334375E13
1 MARZO,40-49,Lazio,2.32704370679797E13
1 MARZO,40-49,Sicilia,1.5289117955968658E13
1 MARZO,50-59,Campania,1.0315243043261167E14
1 MARZO,50-59,Lazio,4.181816833174318E13
1 MARZO,50-59,Puglia,3.2782507574108363E13
1 MARZO,50-59,Toscana,6.857133645189593E12
1 MARZO,50-59,Abruzzo,3.789131085213018E12
1 MARZO,60-69,Campania,5.322410970251882E13
1 MARZO,60-69,Puglia,1.2035903932493336E13
1 MARZO,60-69,Abruzzo,123.44444444444444
1 MARZO,60-69,Umbria,-9.256952719448829E11
1 MARZO,60-69,Provincia Autonoma Bolzano / Bozen,-1.1106662278972295E12
1 MARZO,70-79,Sardegna,2.1088265776354104E12
1 MARZO,70-79,Toscana,54.17857142857143
1 MARZO,70-79,Marche,23.75
1 MARZO,70-79,Abruzzo,19.666666666666668
1 MARZO,70-79,Umbria,12.272727272727275
1 MARZO,80-89,Emilia-Romagna,1.813640042857548E14
1 MARZO,80-89,Lombardia,1.6185479821022475E14
1 MARZO,80-89,Piemonte,1.5803233743715803E14
1 MARZO,80-89,Lazio,1.559540817159174E14
1 MARZO,80-89,Campania,1.427700099743898E14
1 MARZO,90,Emilia-Romagna,6.9504152316448414E13
1 MARZO,90,Toscana,4.0742541616659336E13
1 MARZO,90,Lazio,2.676311153935953E13
1 MARZO,90,Campania,2.073870593541229E13
1 MARZO,90,Marche,1.6211984816506387E13
1 APRILE,16-19,Campania,1.2596913549116704E12
1 APRILE,16-19,Lombardia,1.1796622687466892E12
1 APRILE,16-19,Sicilia,9.552650295761353E11
1 APRILE,16-19,Veneto,6.823565863887455E11
1 APRILE,16-19,Abruzzo,3.6378976197954407E11
1 APRILE,20-29,Lombardia,1.4986441727062168E13
1 APRILE,20-29,Sardegna,3.6744040617869395E12
1 APRILE,20-29,Molise,1.932876182820934E12
1 APRILE,20-29,Liguria,1.4707390565772275E12
1 APRILE,20-29,Provincia Autonoma Trento,1.0258109644493837E12
1 APRILE,30-39,Lombardia,4.699573822293571E13
1 APRILE,30-39,Liguria,7.002456472861257E12
