mese,area,media
Gennaio,Calabria,13.102503
Gennaio,Abruzzo,16.895304
Gennaio,Basilicata,17.274714
Gennaio,Emilia-Romagna,40.607357
Gennaio,Campania,104.247314
Gennaio,Lazio,33.287327
Gennaio,Friuli-Venezia Giulia,25.873083
Gennaio,Lombardia,85.5041
Gennaio,Liguria,11.673926
Gennaio,Molise,39.883064
Gennaio,Marche,23.962736
Gennaio,Piemonte,26.597443
Gennaio,Provincia Autonoma Bolzano / Bozen,23.267742
Gennaio,Puglia,5.536162
Gennaio,Provincia Autonoma Trento,36.955647
Gennaio,Sicilia,28.871143
Gennaio,Sardegna,14.359347
Gennaio,Toscana,18.509338
Gennaio,Umbria,13.846475
Gennaio,Valle d'Aosta / Vallée d'Aoste,26.460829
Gennaio,Veneto,26.450691
Febbraio,Calabria,19.593792
Febbraio,Abruzzo,34.199875
Febbraio,Basilicata,32.17281
Febbraio,Emilia-Romagna,42.77821
Febbraio,Campania,142.81482
Febbraio,Lazio,46.737904
Febbraio,Friuli-Venezia Giulia,36.237705
Febbraio,Lombardia,115.61532
Febbraio,Liguria,14.417424
Febbraio,Molise,55.97768
Febbraio,Marche,35.322662
Febbraio,Piemonte,34.674126
Febbraio,Provincia Autonoma Bolzano / Bozen,30.38125
Febbraio,Puglia,8.813638
Febbraio,Provincia Autonoma Trento,52.37723
Febbraio,Sicilia,33.246117
Febbraio,Sardegna,17.76997
Febbraio,Toscana,30.546991
Febbraio,Umbria,15.501323
Febbraio,Valle d'Aosta / Vallée d'Aoste,36.30612
Febbraio,Veneto,27.794899
Marzo,Calabria,51.70214
Marzo,Abruzzo,81.11036
Marzo,Basilicata,54.880333
Marzo,Emilia-Romagna,104.50278
Marzo,Campania,275.65054
Marzo,Lazio,111.055176
Marzo,Friuli-Venezia Giulia,65.36171
Marzo,Lombardia,260.74222
Marzo,Liguria,36.609615
Marzo,Molise,176.36693
Marzo,Marche,92.60567
Marzo,Piemonte,62.615433
Marzo,Provincia Autonoma Bolzano / Bozen,37.337097
Marzo,Puglia,18.269108
Marzo,Provincia Autonoma Trento,109.42742
Marzo,Sicilia,80.044876
Marzo,Sardegna,54.904266
Marzo,Toscana,57.071617
Marzo,Umbria,59.488052
Marzo,Valle d'Aosta / Vallée d'Aoste,48.202763
Marzo,Veneto,88.43441
Aprile,Calabria,86.648285
Aprile,Abruzzo,126.32281
Aprile,Basilicata,94.655914
Aprile,Emilia-Romagna,161.1242
Aprile,Campania,531.92096
Aprile,Lazio,157.76302
Aprile,Friuli-Venezia Giulia,101.1552
Aprile,Lombardia,492.37967
Aprile,Liguria,68.123566
Aprile,Molise,218.71666
Aprile,Marche,162.58736
Aprile,Piemonte,113.880646
Aprile,Provincia Autonoma Bolzano / Bozen,68.22417
Aprile,Puglia,36.503876
Aprile,Provincia Autonoma Trento,171.71666
Aprile,Sicilia,115.07609
Aprile,Sardegna,96.666664
Aprile,Toscana,96.584526
Aprile,Umbria,99.094444
Aprile,Valle d'Aosta / Vallée d'Aoste,105.83333
Aprile,Veneto,121.94492
Maggio,Calabria,153.41785
Maggio,Abruzzo,197.15677
Maggio,Basilicata,148.00208
Maggio,Emilia-Romagna,204.16376
Maggio,Campania,968.0543
Maggio,Lazio,255.26071
Maggio,Friuli-Venezia Giulia,167.47488
Maggio,Lombardia,726.2288
Maggio,Liguria,69.00329
Maggio,Molise,291.1008
Maggio,Marche,197.96552
Maggio,Piemonte,144.75233
Maggio,Provincia Autonoma Bolzano / Bozen,103.18227
Maggio,Puglia,54.46363
Maggio,Provincia Autonoma Trento,237.90524
Maggio,Sicilia,202.80855
Maggio,Sardegna,135.6684
Maggio,Toscana,134.24124
Maggio,Umbria,131.97311
Maggio,Valle d'Aosta / Vallée d'Aoste,132.43318
Maggio,Veneto,175.2619
