Mese,Regione,Media
GENNAIO,Puglia,180.49414
FEBBRAIO,Puglia,259.29144
MARZO,Puglia,594.3936
APRILE,Puglia,1147.4489
MAGGIO,Puglia,1122.9749
GENNAIO,Sicilia,903.1319
FEBBRAIO,Sicilia,941.9835
MARZO,Sicilia,2508.5989
APRILE,Sicilia,3488.7693
MAGGIO,Sicilia,3653.2856
GENNAIO,Marche,769.125
FEBBRAIO,Marche,1024.3392
MARZO,Marche,2973.6606
APRILE,Marche,5051.5356
MAGGIO,Marche,3889.3215
GENNAIO,Valle d'Aosta / Vallée d'Aoste,820.2857
FEBBRAIO,Valle d'Aosta / Vallée d'Aoste,1016.5714
MARZO,Valle d'Aosta / Vallée d'Aoste,1494.2858
APRILE,Valle d'Aosta / Vallée d'Aoste,3174.0
MAGGIO,Valle d'Aosta / Vallée d'Aoste,2476.4285
GENNAIO,Basilicata,553.0
FEBBRAIO,Basilicata,930.76666
MARZO,Basilicata,1754.9667
APRILE,Basilicata,2932.3
MAGGIO,Basilicata,3097.2666
GENNAIO,Molise,1978.2
FEBBRAIO,Molise,2507.6
MARZO,Molise,8739.2
APRILE,Molise,9958.0
MAGGIO,Molise,9082.4
GENNAIO,Piemonte,846.80096
FEBBRAIO,Piemonte,997.40283
MARZO,Piemonte,1995.1375
APRILE,Piemonte,3509.6208
MAGGIO,Piemonte,2840.2844
GENNAIO,Emilia-Romagna,1272.413
FEBBRAIO,Emilia-Romagna,1212.9032
MARZO,Emilia-Romagna,3272.0322
APRILE,Emilia-Romagna,4864.542
MAGGIO,Emilia-Romagna,3802.6323
GENNAIO,Lazio,1048.4944
FEBBRAIO,Lazio,1330.4
MARZO,Lazio,3499.2334
APRILE,Lazio,4804.561
MAGGIO,Lazio,4869.2725
GENNAIO,Provincia Autonoma Trento,1145.4375
FEBBRAIO,Provincia Autonoma Trento,1466.1875
MARZO,Provincia Autonoma Trento,3387.9375
APRILE,Provincia Autonoma Trento,5142.9375
MAGGIO,Provincia Autonoma Trento,4682.875
GENNAIO,Campania,3292.6792
FEBBRAIO,Campania,4074.2642
MARZO,Campania,8705.32
APRILE,Campania,16254.736
MAGGIO,Campania,17816.68
GENNAIO,Lombardia,2671.8633
FEBBRAIO,Lombardia,3263.5813
MARZO,Lombardia,8144.7095
APRILE,Lombardia,14884.752
MAGGIO,Lombardia,14113.948
GENNAIO,Calabria,420.41748
FEBBRAIO,Calabria,556.534
MARZO,Calabria,1613.8641
APRILE,Calabria,2655.864
MAGGIO,Calabria,2954.4175
GENNAIO,Abruzzo,533.0893
FEBBRAIO,Abruzzo,974.6429
MARZO,Abruzzo,2556.6606
APRILE,Abruzzo,3855.25
MAGGIO,Abruzzo,3741.5715
GENNAIO,Sardegna,465.0674
FEBBRAIO,Sardegna,519.89886
MARZO,Sardegna,1767.2921
APRILE,Sardegna,3012.0562
MAGGIO,Sardegna,2303.2246
GENNAIO,Provincia Autonoma Bolzano / Bozen,739.7436
FEBBRAIO,Provincia Autonoma Bolzano / Bozen,872.38464
MARZO,Provincia Autonoma Bolzano / Bozen,1186.8975
APRILE,Provincia Autonoma Bolzano / Bozen,2098.718
MAGGIO,Provincia Autonoma Bolzano / Bozen,1801.3077
GENNAIO,Friuli-Venezia Giulia,815.38336
FEBBRAIO,Friuli-Venezia Giulia,1031.1833
MARZO,Friuli-Venezia Giulia,2058.9666
APRILE,Friuli-Venezia Giulia,3083.15
MAGGIO,Friuli-Venezia Giulia,2974.3167
GENNAIO,Veneto,831.7488
FEBBRAIO,Veneto,788.71497
MARZO,Veneto,2780.0774
APRILE,Veneto,3706.9468
MAGGIO,Veneto,3494.4639
GENNAIO,Umbria,445.75
FEBBRAIO,Umbria,450.73077
MARZO,Umbria,1914.0
APRILE,Umbria,3081.5386
MAGGIO,Umbria,2453.0386
GENNAIO,Toscana,579.2802
FEBBRAIO,Toscana,863.50726
MARZO,Toscana,1785.5942
APRILE,Toscana,2923.034
MAGGIO,Toscana,2484.9517
GENNAIO,Liguria,366.52902
FEBBRAIO,Liguria,408.81937
MARZO,Liguria,1150.1096
APRILE,Liguria,2069.4902
MAGGIO,Liguria,1336.2645
