Anno-mese,Fascia-Anagrafica,Area,Prediction
2021-2,16-19,PUG,1.8734660569027435E11
2021-2,16-19,UMB,5.353861002875056E10
2021-2,16-19,ABR,4.826466982319618E10
2021-2,16-19,VEN,1.492351700531993E10
2021-2,16-19,TOS,1.4538866698316593E10
2021-2,20-29,PUG,3.613847107545255E12
2021-2,20-29,UMB,1.613200733612392E12
2021-2,20-29,PAT,1.5164810009182236E12
2021-2,20-29,ABR,1.3777956592608447E12
2021-2,20-29,VEN,341.42857142857144
2021-2,30-39,TOS,2.0903552910951895E13
2021-2,30-39,PUG,1.0714270235941176E13
2021-2,30-39,CAM,5.55330883496101E12
2021-2,30-39,UMB,3.2777886769738643E12
2021-2,30-39,PAB,76.73913043478261
2021-2,40-49,CAM,4.691763095898459E13
2021-2,40-49,TOS,4.054883343855045E13
2021-2,40-49,PUG,3.2829656989334375E13
2021-2,40-49,LAZ,2.32704370679797E13
2021-2,40-49,SIC,1.5289117955968658E13
2021-2,50-59,CAM,1.0315243043261167E14
2021-2,50-59,LAZ,4.181816833174318E13
2021-2,50-59,PUG,3.2782507574108363E13
2021-2,50-59,TOS,6.857133645189593E12
2021-2,50-59,ABR,3.789131085213018E12
2021-2,60-69,CAM,5.3023952538855164E13
2021-2,60-69,PUG,1.2019917470150355E13
2021-2,60-69,ABR,123.44444444444444
2021-2,60-69,UMB,-9.256952719448829E11
2021-2,60-69,PAB,-1.1106662278972295E12
2021-2,70-79,SAR,2.1088265776354104E12
2021-2,70-79,TOS,54.17857142857143
2021-2,70-79,MAR,23.75
2021-2,70-79,ABR,19.666666666666668
2021-2,70-79,UMB,12.272727272727275
2021-2,80-89,EMR,1.813640042857548E14
2021-2,80-89,LOM,1.6185479821022475E14
2021-2,80-89,PIE,1.5803233743715803E14
2021-2,80-89,LAZ,1.559540817159174E14
2021-2,80-89,CAM,1.427700099743898E14
2021-2,90,EMR,6.9504152316448414E13
2021-2,90,TOS,4.0742541616659336E13
2021-2,90,LAZ,2.676311153935953E13
2021-2,90,CAM,2.073870593541229E13
2021-2,90,MAR,1.6211984816506387E13
2021-3,16-19,CAM,1.2596913549116704E12
2021-3,16-19,LOM,1.1833559501438767E12
2021-3,16-19,SIC,9.552650295761353E11
2021-3,16-19,VEN,6.823565863887455E11
2021-3,16-19,ABR,3.6378976197954407E11
2021-3,20-29,LOM,1.4986441727062168E13
2021-3,20-29,SAR,3.6744040617869395E12
2021-3,20-29,MOL,1.932876182820934E12
2021-3,20-29,LIG,1.468958674975114E12
2021-3,20-29,PAT,1.0227094421082534E12
2021-3,30-39,LOM,4.699573822293571E13
2021-3,30-39,LIG,7.002456472861257E12
2021-3,30-39,SAR,5.243359540074836E12
2021-3,30-39,CAL,3.49888907231909E12
2021-3,30-39,MOL,2.165293947614158E12
2021-3,40-49,LOM,5.93287817435236E13
2021-3,40-49,SAR,1.6081899016121182E13
2021-3,40-49,LIG,1.6044795523888549E13
2021-3,40-49,CAL,1.3216825224262027E13
2021-3,40-49,MOL,3.8284533414555845E12
2021-3,50-59,LOM,6.167718255596077E13
2021-3,50-59,LIG,2.751255773114714E13
2021-3,50-59,CAL,2.412942836502717E13
2021-3,50-59,SAR,2.1060945356627527E13
2021-3,50-59,MOL,4.244376901493418E12
2021-3,60-69,VEN,3.621365466580996E13
2021-3,60-69,LIG,3.536309288549357E13
2021-3,60-69,CAL,2.4009645949703605E13
2021-3,60-69,LAZ,2.0302559223401016E13
2021-3,60-69,SAR,1.5719009114802568E13
2021-3,70-79,VEN,2.8397589707383425E14
2021-3,70-79,LAZ,2.40201777517824E14
2021-3,70-79,EMR,2.1179316811217988E14
2021-3,70-79,CAM,1.9392255250393422E14
2021-3,70-79,SIC,1.6847677268080506E14
2021-3,80-89,LOM,3.6935801739889675E14
2021-3,80-89,VEN,3.036306422866918E14
2021-3,80-89,TOS,1.73846839238347E14
2021-3,80-89,EMR,1.4026329155420795E14
2021-3,80-89,PIE,1.370898653593227E14
2021-3,90,VEN,1.0232241982629886E14
2021-3,90,LOM,2.868324337162687E13
2021-3,90,MAR,2.0598585054408992E13
2021-3,90,TOS,1.2548448794315615E13
2021-3,90,PIE,1.2391994830604463E13
2021-4,16-19,LOM,9.095047335534656E12
2021-4,16-19,PIE,3.622388244574733E12
2021-4,16-19,CAM,3.0558537214035146E12
2021-4,16-19,EMR,2.5779535754515327E12
2021-4,16-19,SIC,2.455486702681965E12
2021-4,20-29,LAZ,2.4457481473204902E13
2021-4,20-29,LOM,1.679340584989671E13
2021-4,20-29,SIC,1.4366656917575518E13
2021-4,20-29,PIE,1.2055600584862031E13
2021-4,20-29,CAM,8.755317451110392E12
2021-4,30-39,SIC,1.8570430591894445E13
2021-4,30-39,CAM,1.6218221192232766E13
2021-4,30-39,LAZ,1.5990467194111201E13
2021-4,30-39,LOM,1.2966166261867814E13
2021-4,30-39,EMR,1.1241303678899256E13
2021-4,40-49,LOM,3.683878425482533E13
2021-4,40-49,CAM,3.492943062286208E13
2021-4,40-49,SIC,3.3734246031608668E13
2021-4,40-49,PIE,3.2832104716017293E13
2021-4,40-49,EMR,2.89618908989701E13
2021-4,50-59,LOM,1.3837273356558147E14
2021-4,50-59,CAM,9.055144354222247E13
2021-4,50-59,SIC,6.849534348259985E13
2021-4,50-59,PIE,6.6727333673094836E13
2021-4,50-59,EMR,4.957650964950588E13
2021-4,60-69,LOM,8.471304666529599E14
2021-4,60-69,CAM,3.5402069813738406E14
2021-4,60-69,VEN,2.8543284018378475E14
2021-4,60-69,LAZ,2.270335407755788E14
2021-4,60-69,SIC,2.2678508577215103E14
2021-4,70-79,LOM,1.208624365330165E15
2021-4,70-79,PUG,3.804542681440616E14
2021-4,70-79,EMR,2.2043300082685288E14
2021-4,70-79,PIE,1.5049955563077503E14
2021-4,70-79,LAZ,1.4717263207969562E14
2021-4,80-89,SIC,2.3087021838979504E13
2021-4,80-89,UMB,4.891592954821236E12
2021-4,80-89,VDA,2.560572592794443E12
2021-4,80-89,TOS,5581.766666666666
2021-4,80-89,MOL,-2.4919428481279873E12
2021-4,90,SIC,1.6328957232142371E13
2021-4,90,CAM,4.974578424971553E12
2021-4,90,MOL,2.0383716464479705E12
2021-4,90,LIG,1.226860664115073E12
2021-4,90,VEN,1354.5666666666666
2021-5,16-19,CAM,1.2925565773422264E13
2021-5,16-19,LOM,1.2301169991626992E13
2021-5,16-19,SIC,8.045930366311381E12
2021-5,16-19,PIE,3.4207565755378926E12
2021-5,16-19,MAR,2.5459030032070684E12
2021-5,20-29,CAM,1.1434754130737133E14
2021-5,20-29,LOM,6.371316660924787E13
2021-5,20-29,SIC,3.5149080028903574E13
2021-5,20-29,PIE,2.702543511925843E13
2021-5,20-29,TOS,1.806103945092631E13
2021-5,30-39,CAM,1.1011241607095512E14
2021-5,30-39,LOM,7.73234807756073E13
2021-5,30-39,SIC,4.4010083336629445E13
2021-5,30-39,PIE,4.1023257386208E13
2021-5,30-39,TOS,3.327310273841703E13
2021-5,40-49,CAM,3.3821827910886525E14
2021-5,40-49,LAZ,2.1520135781349516E14
2021-5,40-49,SIC,2.0258570467415197E14
2021-5,40-49,LOM,1.3016402752902797E14
2021-5,40-49,PIE,7.30255779188647E13
2021-5,50-59,SIC,4.1392655368969825E14
2021-5,50-59,LAZ,4.115234176498286E14
2021-5,50-59,VEN,3.4182957435259525E14
2021-5,50-59,TOS,2.894010897526817E14
2021-5,50-59,PIE,2.8344466627379125E14
2021-5,60-69,TOS,3.193639057139402E14
2021-5,60-69,PIE,1.521657406553216E14
2021-5,60-69,EMR,1.0780177912591484E14
2021-5,60-69,FVG,6.667705665993184E13
2021-5,60-69,MAR,6.2194953137728516E13
2021-5,70-79,VDA,-6.422970207143004E12
2021-5,70-79,BAS,-7.715615763662096E12
2021-5,70-79,PAT,-1.3502589487977303E13
2021-5,70-79,PAB,-2.4378616060228105E13
2021-5,70-79,FVG,-2.7485979105694117E13
2021-5,80-89,PAT,1.1278863120479254E13
2021-5,80-89,VDA,1.4685936714608162E12
2021-5,80-89,PAB,-2.1575242352656895E12
2021-5,80-89,BAS,-3.9916885088582266E12
2021-5,80-89,MOL,-5.919386711436195E12
2021-5,90,PAT,2.0962279020767905E12
2021-5,90,VEN,561.25
2021-5,90,VDA,11.65
2021-5,90,PAB,-3.665585373500523E11
2021-5,90,BAS,-1.000968788117095E12
